iter	RMSE
0	16.13401197
1	16.07251796
2	16.011341
3	15.95017104
4	15.88902492
5	15.82857378
6	15.76828452
7	15.70856011
8	15.64845359
9	15.58892904
10	15.52980252
11	15.47048902
12	15.41114735
13	15.35286615
14	15.29409873
15	15.23607646
16	15.17829501
17	15.12034656
18	15.06319136
19	15.0061469
20	14.94912551
21	14.89209187
22	14.83531049
23	14.77862292
24	14.72258274
25	14.66673861
26	14.61144633
27	14.55658986
28	14.50113144
29	14.44559078
30	14.39172077
31	14.33746077
32	14.28334035
33	14.22937356
34	14.17527905
35	14.12146895
36	14.06762717
37	14.01390512
38	13.96096462
39	13.90828044
40	13.85592468
41	13.80337964
42	13.75069535
43	13.69911975
44	13.64757332
45	13.59576613
46	13.54475776
47	13.4937964
48	13.44305902
49	13.39248903
50	13.34216648
51	13.2912302
52	13.24128917
53	13.19165884
54	13.14181854
55	13.09243148
56	13.04329172
57	12.99431819
58	12.94559901
59	12.89705298
60	12.84877499
61	12.80003335
62	12.75208549
63	12.70388963
64	12.65584166
65	12.60865711
66	12.56152838
67	12.51425157
68	12.46736161
69	12.42051985
70	12.37418045
71	12.32807297
72	12.28196759
73	12.23596752
74	12.19013677
75	12.14441444
76	12.09928751
77	12.05351267
78	12.0088094
79	11.96404099
80	11.91962255
81	11.87487914
82	11.83103045
83	11.78640545
84	11.74306649
85	11.69913171
86	11.65579148
87	11.61231472
88	11.56861091
89	11.52581127
90	11.48291406
91	11.44024391
92	11.3981628
93	11.35618332
94	11.31414183
95	11.27237186
96	11.23087846
97	11.18878096
98	11.14796741
99	11.10730081
100	11.06575148
101	11.02508216
102	10.98401717
103	10.94367043
104	10.9031541
105	10.86311672
106	10.82340386
107	10.78356842
108	10.74402723
109	10.70472972
110	10.66549921
111	10.62582902
112	10.58681117
113	10.54787708
114	10.50924482
115	10.47108936
116	10.43263364
117	10.39465194
118	10.35685063
119	10.31933863
120	10.28184417
121	10.24464544
122	10.20642873
123	10.16929089
124	10.13197389
125	10.09511002
126	10.05847694
127	10.02174429
128	9.985176275
129	9.949432224
130	9.913553158
131	9.877616307
132	9.841689623
133	9.805603637
134	9.770235623
135	9.734944209
136	9.699485715
137	9.664531233
138	9.629764034
139	9.595169263
140	9.560735674
141	9.526249644
142	9.492054315
143	9.457341873
144	9.423596166
145	9.38940007
146	9.355718504
147	9.322273294
148	9.28815769
149	9.255197374
150	9.22129824
151	9.188435753
152	9.154871682
153	9.121808205
154	9.088838762
155	9.056232257
156	9.023636337
157	8.991199422
158	8.958936045
159	8.926688724
160	8.89511937
161	8.863723864
162	8.832126007
163	8.800874248
164	8.769113526
165	8.737530783
166	8.705804263
167	8.674545664
168	8.643592961
169	8.612792026
