iter	Passed	Remaining
0	38	3830108
1	64	3209130
2	91	3041389
3	115	2889318
4	133	2679829
5	171	2851089
6	209	2988066
7	234	2929389
8	262	2919845
9	287	2871509
10	313	2849232
11	342	2854091
12	369	2841451
13	398	2848549
14	423	2825483
15	450	2813177
16	477	2810314
17	504	2804957
18	534	2814614
19	569	2847568
20	612	2916571
21	656	2981536
22	685	2980494
23	714	2975271
24	742	2968007
25	771	2965168
26	809	2996869
27	837	2991263
28	874	3014796
29	907	3023990
30	940	3033376
31	983	3073789
32	1014	3073660
33	1044	3069778
34	1070	3056990
35	1087	3019159
36	1113	3009168
37	1144	3011001
38	1170	3000910
39	1198	2994796
40	1224	2984396
41	1251	2977763
42	1282	2980162
43	1323	3006946
44	1385	3077223
45	1451	3154931
46	1505	3201955
47	1556	3240513
48	1604	3272644
49	1655	3309570
50	1708	3349190
51	1766	3395359
52	1827	3446114
53	1887	3493665
54	1960	3563276
55	2023	3610740
56	2070	3630161
57	2127	3666599
58	2190	3711189
59	2240	3732402
60	2299	3768129
61	2352	3792211
62	2411	3825254
63	2462	3845733
64	2513	3865103
65	2576	3901177
66	2631	3924484
67	2674	3930102
68	2727	3950005
69	2776	3963369
70	2836	3992877
71	2890	4011946
72	2955	4045976
73	3020	4078681
74	3090	4117345
75	3157	4151951
76	3225	4185864
77	3288	4212561
78	3344	4229823
79	3407	4255458
80	3476	4287949
81	3541	4315637
82	3609	4344988
83	3676	4373192
84	3738	4394230
85	3799	4413761
86	3858	4430700
87	3917	4447405
88	3977	4464874
89	4068	4516818
90	4134	4538986
91	4203	4565109
92	4263	4580172
93	4349	4622912
94	4409	4637061
95	4475	4657354
96	4551	4687678
97	4626	4716430
98	4713	4756770
99	4789	4784982
100	4851	4799004
101	4920	4819467
102	4994	4843983
103	5053	4853995
104	5114	4866121
105	5176	4878159
106	5240	4892465
107	5297	4900034
108	5370	4921328
109	5444	4944062
110	5506	4955241
111	5571	4968950
112	5634	4980417
113	5687	4983461
114	5753	4997125
115	5809	5002264
116	5871	5012547
117	5921	5012179
118	5979	5018687
119	6038	5025985
120	6096	5032263
121	6177	5057252
122	6234	5062697
123	6283	5061371
124	6342	5067911
125	6399	5072349
126	6451	5073308
127	6507	5077638
128	6569	5086324
129	6618	5084272
130	6673	5087615
131	6713	5079081
132	6759	5075595
133	6796	5065490
134	6837	5058207
135	6871	5045627
136	6922	5046033
137	6975	5047400
138	7017	5041614
139	7066	5040093
140	7105	5032203
141	7138	5020317
142	7169	5006677
143	7207	4998005
144	7238	4984730
145	7266	4969602
146	7291	4953153
147	7318	4937551
148	7345	4922562
149	7373	4908504
150	7400	4893451
151	7426	4878726
152	7451	4862660
153	7479	4849610
154	7511	4838834
155	7541	4826697
156	7572	4815671
157	7600	4802669
158	7632	4792589
159	7662	4781090
160	7693	4770808
161	7727	4762548
162	7767	4757377
163	7800	4748717
164	7836	4741778
165	7865	4730629
166	7896	4720559
167	7926	4710290
168	7959	4701862
169	7988	4691357
170	8021	4682677
171	8049	4671740
172	8078	4661677
173	8112	4654221
174	8141	4644188
175	8172	4635535
176	8205	4627899
177	8242	4622492
178	8276	4615192
179	8307	4606892
180	8335	4596881
181	8366	4588811
182	8397	4580631
183	8426	4571433
184	8454	4561748
185	8482	4551959
186	8510	4542690
187	8549	4539292
188	8583	4533101
189	8618	4527237
190	8651	4520937
191	8687	4516258
192	8714	4506412
193	8741	4497396
194	8769	4488402
195	8795	4478947
196	8822	4469456
197	8850	4460919
198	8875	4451310
199	8910	4446571
200	8936	4437021
201	8965	4429491
202	8992	4420575
203	9020	4412872
204	9045	4403417
205	9075	4396608
206	9101	4387571
207	9130	4380756
208	9165	4376218
209	9201	4372370
210	9232	4366523
211	9262	4359713
212	9288	4351592
213	9316	4344252
214	9342	4336105
215	9370	4329023
216	9398	4321656
217	9426	4314607
218	9452	4306576
219	9480	4299618
220	9505	4291719
221	9536	4286030
222	9569	4281660
223	9607	4279530
224	9634	4272486
225	9668	4268307
226	9699	4263162
227	9726	4256089
228	9751	4248653
229	9780	4242639
230	9806	4235478
231	9837	4230457
232	9864	4223821
233	9893	4218027
234	9919	4211010
235	9949	4205744
236	9974	4198606
237	10005	4194144
238	10033	4187888
239	10060	4181718
240	10090	4176806
241	10126	4174267
242	10153	4168372
243	10194	4168075
244	10229	4165214
245	10263	4161858
246	10288	4155145
247	10318	4150421
248	10349	4145886
249	10373	4139165
250	10401	4133706
251	10427	4127520
252	10455	4122003
253	10480	4115793
254	10507	4110259
255	10535	4104715
256	10563	4099741
257	10589	4093788
258	10623	4091169
259	10658	4088829
260	10685	4083547
261	10720	4081152
262	10755	4078914
263	10790	4076669
264	10830	4076096
265	10858	4071267
266	10888	4067078
267	10916	4062550
268	10943	4057443
269	10972	4052961
270	10997	4047005
271	11024	4041977
272	11051	4037208
273	11077	4031956
274	11107	4028147
275	11134	4023064
276	11162	4018625
277	11189	4013886
278	11220	4010287
279	11253	4007942
280	11300	4010094
281	11336	4008791
282	11366	4004904
283	11397	4001696
284	11426	3997745
285	11456	3994197
286	11484	3990211
287	11516	3987095
288	11545	3983508
289	11577	3980707
290	11608	3977581
291	11638	3974238
292	11668	3970636
293	11701	3968497
294	11739	3967667
295	11773	3965646
